local;type;surface;nb_piece;prix
2036;0;500;3;2500.0
2016;0;220;2;1800.0
2036;0;170;3;4000.0
2015;0;250;5;3000.0
2070;0;600;5;6000.0
2016;0;250;3;5000.0
2070;0;160;4;3200.0
2070;0;500;5;6500.0
8050;0;200;3;650.0
8050;0;300;3;2200.0
2016;0;300;5;4500.0
8050;0;200;2;1300.0
2091;0;150;4;1200.0
8050;0;250;3;2001.0
2070;0;450;8;3200.0
2070;0;360;5;3500.0
2070;0;320;3;1600.0
2016;0;170;3;3000.0
2070;0;80;1;2000.0
8050;0;120;2;1350.0
2070;0;115;2;2200.0
2070;0;174;3;1700.0
2070;0;140;3;1200.0
2070;0;100;3;1200.0
2070;0;250;4;4000.0
1082;0;300;4;2600.0
8050;0;120;2;650.0
4180;0;130;3;700.0
2070;0;300;4;3000.0
2036;0;320;6;3400.0
2070;0;220;5;6500.0
4004;0;300;3;1200.0
1082;0;180;3;1800.0
2015;0;190;3;2000.0
8050;0;150;2;1200.0
2016;0;80;1;1300.0
2070;0;60;1;1600.0
2070;0;200;3;1250.0
2091;0;300;4;2800.0
2091;0;200;3;1850.0
1000;0;600;5;6000.0
2091;0;70;1;500.0
1082;0;700;5;1800.0
2016;0;200;3;3900.0
2016;0;200;3;4000.0
2036;0;250;4;2200.0
2015;0;135;3;1150.0
2070;0;170;2;3500.0
2070;0;220;4;4000.0
2016;0;136;3;3000.0
4004;0;200;2;1600.0
2070;0;180;6;1800.0
8050;0;420;5;3501.0
2070;0;120;2;850.0
2070;0;174;3;1700.0
4116;0;250;4;2000.0
2016;0;170;3;2700.0
2036;0;200;4;5600.0
2070;0;80;1;2000.0
4004;0;200;2;1000.0
2070;0;200;4;980.0
8000;0;233;3;1801.0
8050;0;120;3;700.0
2070;0;200;3;1400.0
4004;0;280;4;2000.0
2016;0;200;3;4500.0
2070;0;200;3;5000.0
2036;0;250;5;2300.0
2070;0;250;5;4450.0
2070;0;450;8;3200.0
2070;0;130;3;2000.0
2070;0;200;5;5500.0
2070;0;520;5;8500.0
2070;0;130;3;1200.0
2070;0;180;3;2000.0
2070;0;120;3;1250.0
1000;0;600;5;6000.0
2016;0;300;2;4000.0
8050;0;200;2;1200.0
8050;0;220;3;1900.0
8050;0;250;3;1200.0
2034;0;100;2;500.0
2070;0;250;5;3600.0
2091;0;360;9;5000.0
2070;0;120;3;1700.0
2036;0;200;4;5600.0
1082;0;300;4;2600.0
8050;0;450;2;1701.0
2091;0;100;2;1600.0
8050;0;300;3;2600.0
4004;0;200;2;1000.0
2070;0;200;4;5000.0
1082;0;200;4;1800.0
2070;0;500;4;4700.0
2070;0;130;3;2000.0
2070;0;200;5;2500.0
2016;0;170;3;3000.0
4004;0;80;2;800.0
2070;0;300;3;8000.0
2070;0;300;4;3900.0
2070;0;115;2;2200.0
2070;0;250;3;5700.0
2016;0;200;3;3900.0
2070;0;200;3;1800.0
2070;0;450;8;3200.0
2070;0;320;3;1600.0
2091;0;200;3;1850.0
2070;0;350;5;3800.0
4180;0;320;4;1500.0
2016;0;200;3;1800.0
2036;0;65;1;550.0
8050;0;150;2;4000.0
2091;0;300;4;2800.0
8050;0;300;3;1400.0
2070;0;174;3;1700.0
2070;0;520;5;8500.0
2070;0;450;5;4500.0
2070;0;200;4;2000.0
2016;0;80;1;1300.0
2016;0;300;2;4000.0
4116;0;250;4;2000.0
1082;0;100;4;530.0
2097;0;200;3;800.0
2070;0;120;4;4000.0
8050;0;250;3;1501.0
2070;0;750;1;14000.0
2070;0;350;5;3800.0
2070;0;250;3;3500.0
2070;0;500;4;4700.0
2016;0;240;3;5000.0
4180;0;500;3;800.0
2015;0;180;3;2800.0
2070;0;400;4;6000.0
2034;0;100;2;500.0
2070;0;450;4;4300.0
2070;0;80;2;3500.0
2070;0;320;3;2500.0
2070;0;370;5;3500.0
2091;0;100;2;1600.0
2070;0;360;5;3500.0
1082;0;154;1;1500.0
2070;0;120;3;1700.0
2070;0;170;2;3500.0
2070;0;390;4;4700.0
2070;0;400;5;3900.0
2016;0;400;5;5000.0
2070;0;300;3;3300.0
2070;0;300;4;3000.0
2015;0;380;3;4300.0
2016;0;500;6;6500.0
2016;0;143;3;1050.0
2070;0;450;5;5500.0
4180;0;120;2;1000.0
4022;0;200;2;1100.0
8050;0;200;3;800.0
4180;0;800;3;1000.0
2070;0;160;3;1250.0
2016;0;190;4;2900.0
2097;0;150;3;750.0
2016;0;120;3;2100.0
1082;0;80;2;600.0
2070;0;160;4;4000.0
1082;0;450;4;3500.0
2070;0;190;3;2500.0
2070;0;400;4;3500.0
4180;0;180;3;2000.0
2070;0;100;3;1200.0
4116;0;80;2;850.0
2070;0;100;3;1600.0
2070;0;350;5;3800.0
1082;0;400;7;3000.0
2070;0;160;3;1250.0
2070;0;200;3;2900.0
1082;0;300;4;2600.0
1082;0;180;3;1800.0
2070;0;500;4;6000.0
1082;0;450;4;3500.0
2070;0;400;4;6000.0
2070;0;250;4;3000.0
2070;0;300;3;8000.0
2016;0;200;4;2500.0
8000;0;233;3;1801.0
2016;0;200;3;1800.0
4004;0;280;4;2000.0
8050;0;120;3;700.0
2097;0;200;3;800.0
2070;0;250;3;1800.0
8050;0;150;2;4001.0
2070;0;80;1;2000.0
1082;0;200;3;1500.0
2015;0;180;3;1700.0
2015;0;135;3;1150.0
1082;0;120;4;550.0
